order_id,customer_id,order_status,order_date,required_date,shipped_date,store_id,staff_id,first_name,last_name,phone_x,email_x,street_x,city_x,state_x,zip_code_x,item_id,product_id,quantity,list_price_x,discount,product_name,brand_id,category_id,model_year,list_price_y,category_name,store_name,phone_y,email_y,street_y,city_y,state_y,zip_code_y,total_price
1,259,4,2016-01-01,2016-01-03,2016-01-03,1,2,Johnathan,Velazquez,,johnathan.velazquez@hotmail.com,9680 E. Somerset Street ,Pleasanton,CA,94566,1,20,1,599.99,0.2,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99,Cruisers Bicycles,Santa Cruz Bikes,(831) 476-4321,santacruz@bikes.shop,3700 Portola Drive,Santa Cruz,CA,95060,479.992
1,259,4,2016-01-01,2016-01-03,2016-01-03,1,2,Johnathan,Velazquez,,johnathan.velazquez@hotmail.com,9680 E. Somerset Street ,Pleasanton,CA,94566,2,8,2,1799.99,0.07,Trek Remedy 29 Carbon Frameset - 2016,9,6,2016,1799.99,Mountain Bikes,Santa Cruz Bikes,(831) 476-4321,santacruz@bikes.shop,3700 Portola Drive,Santa Cruz,CA,95060,3347.9813999999997
1,259,4,2016-01-01,2016-01-03,2016-01-03,1,2,Johnathan,Velazquez,,johnathan.velazquez@hotmail.com,9680 E. Somerset Street ,Pleasanton,CA,94566,3,10,2,1549.0,0.05,Surly Straggler - 2016,8,4,2016,1549.0,Cyclocross Bicycles,Santa Cruz Bikes,(831) 476-4321,santacruz@bikes.shop,3700 Portola Drive,Santa Cruz,CA,95060,2943.1
1,259,4,2016-01-01,2016-01-03,2016-01-03,1,2,Johnathan,Velazquez,,johnathan.velazquez@hotmail.com,9680 E. Somerset Street ,Pleasanton,CA,94566,4,16,2,599.99,0.05,Electra Townie Original 7D EQ - 2016,1,3,2016,599.99,Cruisers Bicycles,Santa Cruz Bikes,(831) 476-4321,santacruz@bikes.shop,3700 Portola Drive,Santa Cruz,CA,95060,1139.981
1,259,4,2016-01-01,2016-01-03,2016-01-03,1,2,Johnathan,Velazquez,,johnathan.velazquez@hotmail.com,9680 E. Somerset Street ,Pleasanton,CA,94566,5,4,1,2899.99,0.2,Trek Fuel EX 8 29 - 2016,9,6,2016,2899.99,Mountain Bikes,Santa Cruz Bikes,(831) 476-4321,santacruz@bikes.shop,3700 Portola Drive,Santa Cruz,CA,95060,2319.9919999999997
2,1212,4,2016-01-01,2016-01-04,2016-01-03,2,6,Jaqueline,Cummings,,jaqueline.cummings@hotmail.com,478 Wrangler St. ,Huntington Station,NY,11746,1,20,1,599.99,0.07,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99,Cruisers Bicycles,Baldwin Bikes,(516) 379-8888,baldwin@bikes.shop,4200 Chestnut Lane,Baldwin,NY,11432,557.9907
2,1212,4,2016-01-01,2016-01-04,2016-01-03,2,6,Jaqueline,Cummings,,jaqueline.cummings@hotmail.com,478 Wrangler St. ,Huntington Station,NY,11746,2,16,2,599.99,0.05,Electra Townie Original 7D EQ - 2016,1,3,2016,599.99,Cruisers Bicycles,Baldwin Bikes,(516) 379-8888,baldwin@bikes.shop,4200 Chestnut Lane,Baldwin,NY,11432,1139.981
3,523,4,2016-01-02,2016-01-05,2016-01-03,2,7,Joshua,Robertson,,joshua.robertson@gmail.com,81 Campfire Court ,Patchogue,NY,11772,1,3,1,999.99,0.05,Surly Wednesday Frameset - 2016,8,6,2016,999.99,Mountain Bikes,Baldwin Bikes,(516) 379-8888,baldwin@bikes.shop,4200 Chestnut Lane,Baldwin,NY,11432,949.9905
3,523,4,2016-01-02,2016-01-05,2016-01-03,2,7,Joshua,Robertson,,joshua.robertson@gmail.com,81 Campfire Court ,Patchogue,NY,11772,2,20,1,599.99,0.05,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99,Cruisers Bicycles,Baldwin Bikes,(516) 379-8888,baldwin@bikes.shop,4200 Chestnut Lane,Baldwin,NY,11432,569.9905
4,175,4,2016-01-03,2016-01-04,2016-01-05,1,3,Nova,Hess,,nova.hess@msn.com,773 South Lafayette St. ,Duarte,CA,91010,1,2,2,749.99,0.1,Ritchey Timberwolf Frameset - 2016,5,6,2016,749.99,Mountain Bikes,Santa Cruz Bikes,(831) 476-4321,santacruz@bikes.shop,3700 Portola Drive,Santa Cruz,CA,95060,1349.982
5,1324,4,2016-01-03,2016-01-06,2016-01-06,2,6,Arla,Ellis,,arla.ellis@yahoo.com,127 Crescent Ave. ,Utica,NY,13501,1,10,2,1549.0,0.05,Surly Straggler - 2016,8,4,2016,1549.0,Cyclocross Bicycles,Baldwin Bikes,(516) 379-8888,baldwin@bikes.shop,4200 Chestnut Lane,Baldwin,NY,11432,2943.1
5,1324,4,2016-01-03,2016-01-06,2016-01-06,2,6,Arla,Ellis,,arla.ellis@yahoo.com,127 Crescent Ave. ,Utica,NY,13501,2,17,1,429.0,0.07,Pure Cycles Vine 8-Speed - 2016,4,3,2016,429.0,Cruisers Bicycles,Baldwin Bikes,(516) 379-8888,baldwin@bikes.shop,4200 Chestnut Lane,Baldwin,NY,11432,398.96999999999997
5,1324,4,2016-01-03,2016-01-06,2016-01-06,2,6,Arla,Ellis,,arla.ellis@yahoo.com,127 Crescent Ave. ,Utica,NY,13501,3,26,1,599.99,0.07,Electra Townie Original 7D EQ - 2016,1,2,2016,599.99,Comfort Bicycles,Baldwin Bikes,(516) 379-8888,baldwin@bikes.shop,4200 Chestnut Lane,Baldwin,NY,11432,557.9907
6,94,4,2016-01-04,2016-01-07,2016-01-05,2,6,Sharyn,Hopkins,,sharyn.hopkins@hotmail.com,4 South Temple Ave. ,Baldwinsville,NY,13027,1,18,1,449.0,0.07,Pure Cycles Western 3-Speed - Women's - 2015/2016,4,3,2016,449.0,Cruisers Bicycles,Baldwin Bikes,(516) 379-8888,baldwin@bikes.shop,4200 Chestnut Lane,Baldwin,NY,11432,417.57
6,94,4,2016-01-04,2016-01-07,2016-01-05,2,6,Sharyn,Hopkins,,sharyn.hopkins@hotmail.com,4 South Temple Ave. ,Baldwinsville,NY,13027,2,12,2,549.99,0.05,Electra Townie Original 21D - 2016,1,3,2016,549.99,Cruisers Bicycles,Baldwin Bikes,(516) 379-8888,baldwin@bikes.shop,4200 Chestnut Lane,Baldwin,NY,11432,1044.981
